12:10:01=4
12:20:01=4
12:30:01=3
12:40:01=4
12:50:01=4
01:02:08=2
01:10:01=4
01:20:01=5
01:30:02=1
01:40:01=10
01:50:01=12
02:50:01=6
03:00:01=10
03:10:01=0
03:20:01=4
03:30:01=6
03:40:01=7
03:50:01=8
04:00:02=10
04:10:01=11
04:20:01=6
04:30:01=12
04:40:01=1
04:50:01=3
05:00:02=7
05:10:01=6
05:20:01=21
05:30:01=2
05:40:01=10
05:50:01=3
